"SmallMolecule","Cell","Time Point (hrs)","Concentration (μM)","Endpoint","Value","Gene Name"
"Azacitidine","PC-3","6","10","up regulation","20.869","DDIT4"
"Azacitidine","PC-3","6","10","up regulation","19.639","CXCL2"
"Azacitidine","VCaP","24","10","up regulation","18.622","ARHGEF2"
"Azacitidine","VCaP","6","10","up regulation","18.409","RGS2"
"Azacitidine","MCF7","6","10","up regulation","16.598","CLIC4"
"Azacitidine","HT-29","6","10","up regulation","15.663","DDIT4"
"Azacitidine","VCaP","6","10","up regulation","14.339","EGR1"
"Azacitidine","PC-3","6","10","up regulation","14.156","PTGS2"
"Azacitidine","VCaP","6","10","up regulation","13.414","DDIT4"
"Azacitidine","PC-3","6","10","up regulation","12.068","PMAIP1"
"Azacitidine","PC-3","6","10","up regulation","12.046","GADD45A"
"Azacitidine","PC-3","24","10","up regulation","11.677","GADD45A"
"Azacitidine","HT-29","6","10","up regulation","11.415","CDKN1A"
"Azacitidine","PC-3","24","10","up regulation","11.302","CXCL2"
"Azacitidine","MCF7","24","10","up regulation","11.133","SPP1"
"Azacitidine","PC-3","6","10","up regulation","11.043","ST3GAL5"
"Azacitidine","PC-3","6","10","up regulation","10.984","JUN"
"Azacitidine","PC-3","6","10","up regulation","10.98","SPP1"
"Azacitidine","PC-3","24","10","up regulation","10.602","CDK5R1"
"Azacitidine","PC-3","6","10","up regulation","10.58","NFIL3"
"Azacitidine","PC-3","24","10","up regulation","10.193","PRAF2"
"Azacitidine","PC-3","6","10","up regulation","10.013","MCOLN1"
"Azacitidine","PC-3","6","10","up regulation","9.468","XBP1"
"Azacitidine","VCaP","6","10","up regulation","9.202","JUN"
"Azacitidine","PC-3","24","10","up regulation","9.156","AARS"
"Azacitidine","PC-3","6","10","up regulation","8.705","MYC"
"Azacitidine","VCaP","6","10","up regulation","8.662","DDIT4"
"Azacitidine","VCaP","24","0.4","up regulation","8.617","HLA-DMA"
"Azacitidine","PC-3","24","10","up regulation","8.498","XBP1"
"Azacitidine","HT-29","6","10","up regulation","8.488","PTGS2"
"Azacitidine","VCaP","6","10","up regulation","8.193","NFIL3"
"Azacitidine","VCaP","6","10","up regulation","8.128","RGS2"
"Azacitidine","HT-29","6","10","up regulation","8.103","EGR1"
"Azacitidine","HT-29","6","10","up regulation","8.093","GADD45A"
"Azacitidine","MCF7","6","10","up regulation","8.069","DDIT4"
"Azacitidine","HT-29","6","10","up regulation","8.027","TSC22D3"
"Azacitidine","PC-3","24","10","up regulation","8.006","DDIT4"
"Azacitidine","PC-3","6","10","up regulation","7.97","CBLB"
"Azacitidine","PC-3","6","10","up regulation","7.828","PRKCQ"
"Azacitidine","PC-3","24","10","up regulation","7.819","RRP8"
"Azacitidine","VCaP","24","10","up regulation","7.809","CLIC4"
"Azacitidine","PC-3","6","10","up regulation","7.805","PCK2"
"Azacitidine","A549","6","10","up regulation","7.773","PMAIP1"
"Azacitidine","VCaP","24","0.4","up regulation","7.69","ICAM1"
"Azacitidine","A549","6","10","up regulation","7.653","NFIL3"
"Azacitidine","PC-3","24","10","up regulation","7.633","PTGS2"
"Azacitidine","MCF7","24","10","up regulation","7.603","MAMLD1"
"Azacitidine","PC-3","6","10","up regulation","7.591","IER3"
"Azacitidine","HT-29","6","10","up regulation","7.507","MCOLN1"
"Azacitidine","VCaP","24","10","up regulation","7.195","UGDH"
"Azacitidine","PC-3","6","10","up regulation","7.174","RGS2"
"Azacitidine","PC-3","6","10","up regulation","7.128","DMTF1"
"Azacitidine","MCF7","6","10","up regulation","7.118","CDK6"
"Azacitidine","PC-3","6","10","up regulation","7.098","TIPARP"
"Azacitidine","PC-3","6","10","up regulation","6.953","DHDDS"
"Azacitidine","PC-3","6","10","up regulation","6.945","CHAC1"
"Azacitidine","HT-29","6","10","up regulation","6.932","CXCL2"
"Azacitidine","A549","6","10","up regulation","6.897","TSC22D3"
"Azacitidine","A549","6","10","up regulation","6.851","ARHGEF2"
"Azacitidine","MCF7","6","10","up regulation","6.842","SLC1A4"
"Azacitidine","VCaP","6","10","up regulation","6.807","DUSP6"
"Azacitidine","VCaP","24","10","up regulation","6.76","AARS"
"Azacitidine","VCaP","6","10","up regulation","6.737","PIP4K2B"
"Azacitidine","VCaP","6","10","up regulation","6.587","PCK2"
"Azacitidine","VCaP","24","10","up regulation","6.509","MICALL1"
"Azacitidine","A549","6","10","up regulation","6.406","CXCL2"
"Azacitidine","HT-29","6","10","up regulation","6.301","FOSL1"
"Azacitidine","PC-3","24","10","up regulation","6.278","EAPP"
"Azacitidine","PC-3","6","10","up regulation","6.173","GADD45B"
"Azacitidine","VCaP","6","10","up regulation","6.145","SATB1"
"Azacitidine","A549","6","10","up regulation","6.123","DDIT4"
"Azacitidine","MCF7","24","10","up regulation","6.104","CEP57"
"Azacitidine","HT-29","6","10","up regulation","5.967","FOS"
"Azacitidine","PC-3","24","10","up regulation","5.946","ARHGEF2"
"Azacitidine","A549","6","10","up regulation","5.945","KDM5B"
"Azacitidine","VCaP","24","10","up regulation","5.925","ST3GAL5"
"Azacitidine","MCF7","6","10","up regulation","5.889","EPHB2"
"Azacitidine","VCaP","24","0.4","up regulation","5.888","EGR1"
"Azacitidine","VCaP","6","10","up regulation","5.818","CHAC1"
"Azacitidine","VCaP","6","10","up regulation","5.791","SOX4"
"Azacitidine","PC-3","24","10","up regulation","5.779","CBLB"
"Azacitidine","A549","6","10","up regulation","5.772","PTGS2"
"Azacitidine","PC-3","6","10","up regulation","5.752","ARID5B"
"Azacitidine","VCaP","6","10","up regulation","5.734","ARHGEF2"
"Azacitidine","MCF7","6","10","up regulation","5.73","CHAC1"
"Azacitidine","VCaP","24","10","up regulation","5.703","RB1"
"Azacitidine","VCaP","6","10","up regulation","5.686","TSC22D3"
"Azacitidine","PC-3","24","10","up regulation","5.655","PECR"
"Azacitidine","VCaP","6","10","up regulation","5.642","MTHFD2"
"Azacitidine","VCaP","6","10","up regulation","5.622","JUN"
"Azacitidine","PC-3","24","10","up regulation","5.617","DPH2"
"Azacitidine","VCaP","6","10","up regulation","5.603","ABHD6"
"Azacitidine","PC-3","6","10","up regulation","5.577","AARS"
"Azacitidine","VCaP","6","10","up regulation","5.57","ZFP36"
"Azacitidine","VCaP","24","0.4","up regulation","5.564","HMGA2"
"Azacitidine","VCaP","24","10","up regulation","5.52","GFPT1"
"Azacitidine","VCaP","24","10","up regulation","5.503","CASK"
"Azacitidine","VCaP","24","10","up regulation","5.431","SMAD3"
"Azacitidine","VCaP","24","0.4","up regulation","5.412","ZNF451"
"Azacitidine","HT-29","6","10","up regulation","5.362","NFIL3"
"Azacitidine","VCaP","6","10","up regulation","5.362","SOX4"
"Azacitidine","MCF7","6","10","up regulation","5.36","MYC"
"Azacitidine","MCF7","24","10","up regulation","5.331","ARHGEF2"
"Azacitidine","PC-3","24","10","up regulation","5.301","MICALL1"
"Azacitidine","MCF7","6","10","up regulation","5.299","HOXA10"
"Azacitidine","PC-3","24","10","up regulation","5.295","NFIL3"
"Azacitidine","VCaP","24","10","up regulation","5.276","SORBS3"
"Azacitidine","PC-3","24","10","up regulation","5.266","PMAIP1"
"Azacitidine","HT-29","6","10","up regulation","5.256","TRIB1"
"Azacitidine","VCaP","24","10","up regulation","5.232","ARHGEF2"
"Azacitidine","VCaP","24","10","up regulation","5.219","DNAJB2"
"Azacitidine","PC-3","6","10","up regulation","5.218","CDKN1A"
"Azacitidine","PC-3","6","10","up regulation","5.211","DUSP4"
"Azacitidine","VCaP","6","10","up regulation","5.193","ICAM1"
"Azacitidine","HT-29","6","10","up regulation","5.181","IER3"
"Azacitidine","PC-3","24","10","up regulation","5.163","RELB"
"Azacitidine","VCaP","24","10","up regulation","5.158","FYN"
"Azacitidine","MCF7","24","10","up regulation","5.147","GRB10"
"Azacitidine","VCaP","24","10","up regulation","5.123","EPRS"
"Azacitidine","VCaP","6","10","up regulation","4.966","FOXO3"
"Azacitidine","PC-3","6","10","up regulation","4.964","ARHGEF2"
"Azacitidine","PC-3","24","10","up regulation","4.947","PHGDH"
"Azacitidine","VCaP","6","10","up regulation","4.909","TSPAN6"
"Azacitidine","MCF7","24","10","up regulation","4.908","UTP14A"
"Azacitidine","HT-29","6","10","up regulation","4.89","PCK2"
"Azacitidine","VCaP","24","10","up regulation","4.877","KLHL21"
"Azacitidine","VCaP","6","10","up regulation","4.854","FOXO3"
